station_id,day,x_m,y_m,east_disp_m,north_disp_m,vertical_disp_m
GNSS-02,260,-1300.0,900.0,-0.141564,0.096689,0.501359
GNSS-03,260,200.0,1600.0,0.025973,0.179513,0.488733
GNSS-01,270,900.0,-700.0,0.116728,-0.095282,0.567976
GNSS-02,270,-1300.0,900.0,-0.151911,0.10615,0.523578
GNSS-03,270,200.0,1600.0,0.018452,0.182483,0.517099
GNSS-01,280,900.0,-700.0,0.117523,-0.096837,0.59917
GNSS-02,280,-1300.0,900.0,-0.156131,0.111702,0.541764
GNSS-03,280,200.0,1600.0,0.015539,0.190659,0.541432
GNSS-01,290,900.0,-700.0,0.13346,-0.089389,0.61895
GNSS-02,290,-1300.0,900.0,-0.155757,0.118717,0.568471
GNSS-03,290,200.0,1600.0,0.027348,0.204944,0.569791
GNSS-01,300,900.0,-700.0,0.117643,-0.099205,0.647268
GNSS-02,300,-1300.0,900.0,-0.173593,0.120922,0.59364
GNSS-03,300,200.0,1600.0,0.019658,0.213523,0.593305
GNSS-01,310,900.0,-700.0,0.138575,-0.103955,0.675852
GNSS-02,310,-1300.0,900.0,-0.179997,0.12582,0.628266
GNSS-03,310,200.0,1600.0,0.027532,0.225709,0.617541
GNSS-01,320,900.0,-700.0,0.142609,-0.107287,0.702254
GNSS-02,320,-1300.0,900.0,-0.185861,0.134723,0.648937
GNSS-03,320,200.0,1600.0,0.025435,0.230552,0.647051
GNSS-01,330,900.0,-700.0,0.142623,-0.118569,0.73805
GNSS-02,330,-1300.0,900.0,-0.191593,0.129618,0.668535
GNSS-03,330,200.0,1600.0,0.028062,0.227831,0.665809
GNSS-01,340,900.0,-700.0,0.151646,-0.109566,0.744894
GNSS-02,340,-1300.0,900.0,-0.199794,0.138063,0.693553
GNSS-03,340,200.0,1600.0,0.034557,0.249656,0.688266
GNSS-01,350,900.0,-700.0,0.154076,-0.12134,0.78614
GNSS-02,350,-1300.0,900.0,-0.207536,0.139919,0.724074
GNSS-03,350,200.0,1600.0,0.027961,0.256936,0.722342
GNSS-01,360,900.0,-700.0,0.161349,-0.125578,0.806666
GNSS-02,360,-1300.0,900.0,-0.214375,0.151869,0.739607
GNSS-03,360,200.0,1600.0,0.033497,0.265418,0.740291
