station_id,day,east_disp_m,north_disp_m,vertical_disp_m,east_sigma_m,north_sigma_m,vertical_sigma_m
GNSS-01,67,-0.000107,0.006569,0.035904,0.0025,0.0025,0.006
GNSS-01,68,-0.000871,-0.004604,0.03001,0.0025,0.0025,0.006
GNSS-01,69,0.004974,-0.004068,0.022445,0.0025,0.0025,0.006
GNSS-01,70,0.002341,-0.001471,0.024852,0.0025,0.0025,0.006
GNSS-01,71,-0.002096,0.002058,0.032844,0.0025,0.0025,0.006
GNSS-01,72,0.002048,-0.00155,0.029996,0.0025,0.0025,0.006
GNSS-01,73,0.001755,-0.00224,0.037858,0.0025,0.0025,0.006
GNSS-01,74,0.001334,0.005948,0.04252,0.0025,0.0025,0.006
GNSS-01,75,0.002794,-9.9e-05,0.027763,0.0025,0.0025,0.006
GNSS-01,76,0.005341,0.003558,0.037157,0.0025,0.0025,0.006
GNSS-01,77,0.004356,0.001008,0.034685,0.0025,0.0025,0.006
GNSS-01,78,0.009504,0.000606,0.038335,0.0025,0.0025,0.006
GNSS-01,79,0.002016,-0.004295,0.037455,0.0025,0.0025,0.006
GNSS-01,80,0.004297,0.001043,0.04998,0.0025,0.0025,0.006
GNSS-01,81,0.002921,0.001816,0.031474,0.0025,0.0025,0.006
GNSS-01,82,-2.7e-05,0.001643,0.020597,0.0025,0.0025,0.006
GNSS-01,83,-0.0003,-0.002343,0.035782,0.0025,0.0025,0.006
GNSS-01,84,0.003766,-0.001814,0.032732,0.0025,0.0025,0.006
GNSS-01,85,-0.001292,-0.000435,0.034777,0.0025,0.0025,0.006
GNSS-01,86,0.004684,0.000571,0.030229,0.0025,0.0025,0.006
GNSS-01,87,0.001349,-0.007616,0.036794,0.0025,0.0025,0.006
GNSS-01,88,0.001922,0.004876,0.041642,0.0025,0.0025,0.006
GNSS-01,89,0.001962,-0.001521,0.042983,0.0025,0.0025,0.006
GNSS-01,90,-0.002614,0.007947,0.045161,0.0025,0.0025,0.006
GNSS-01,91,0.004832,-0.003177,0.027828,0.0025,0.0025,0.006
GNSS-01,92,-0.000544,-0.004948,0.034756,0.0025,0.0025,0.006
GNSS-01,93,0.002754,0.00057,0.038831,0.0025,0.0025,0.006
GNSS-01,94,-0.000217,0.002921,0.032771,0.0025,0.0025,0.006
GNSS-01,95,-0.001842,0.002224,0.027799,0.0025,0.0025,0.006
GNSS-01,96,-0.00093,-0.006216,0.031409,0.0025,0.0025,0.006
GNSS-01,97,0.000189,0.005226,0.043823,0.0025,0.0025,0.006
GNSS-01,98,0.001044,0.001491,0.032706,0.0025,0.0025,0.006
GNSS-01,99,0.003451,0.002355,0.041154,0.0025,0.0025,0.006
GNSS-01,100,-0.001652,-0.002374,0.043127,0.0025,0.0025,0.006
GNSS-01,101,0.005254,-0.000281,0.030881,0.0025,0.0025,0.006
GNSS-01,102,0.005163,-0.004952,0.038513,0.0025,0.0025,0.006
GNSS-01,103,0.002847,-0.001267,0.041839,0.0025,0.0025,0.006
GNSS-01,104,0.010326,0.004464,0.04434,0.0025,0.0025,0.006
GNSS-01,105,0.006123,-0.001101,0.050005,0.0025,0.0025,0.006
GNSS-01,106,-0.0029,-0.001572,0.040996,0.0025,0.0025,0.006
GNSS-01,107,-0.000178,0.002427,0.036667,0.0025,0.0025,0.006
GNSS-01,108,0.003239,-0.004262,0.051735,0.0025,0.0025,0.006
GNSS-01,109,0.003503,0.001077,0.04124,0.0025,0.0025,0.006
GNSS-01,110,0.004018,-0.000266,0.039015,0.0025,0.0025,0.006
GNSS-01,111,0.002914,-0.004865,0.048552,0.0025,0.0025,0.006
GNSS-01,112,0.00455,0.001632,0.054724,0.0025,0.0025,0.006
GNSS-01,113,0.00497,0.000392,0.043888,0.0025,0.0025,0.006
GNSS-01,114,0.002304,-0.002317,0.050483,0.0025,0.0025,0.006
GNSS-01,115,0.002807,-0.001604,0.049259,0.0025,0.0025,0.006
GNSS-01,116,0.004496,-0.000137,0.057945,0.0025,0.0025,0.006
GNSS-01,117,0.006955,0.005001,0.046816,0.0025,0.0025,0.006
GNSS-01,118,0.006867,-0.001295,0.046101,0.0025,0.0025,0.006
GNSS-01,119,0.002835,0.004177,0.030159,0.0025,0.0025,0.006
GNSS-01,120,0.002207,-0.001447,0.056013,0.0025,0.0025,0.006
GNSS-01,121,0.004772,-0.003021,0.049325,0.0025,0.0025,0.006
GNSS-01,122,0.00237,0.001039,0.057398,0.0025,0.0025,0.006
GNSS-01,123,0.001784,-0.00309,0.054727,0.0025,0.0025,0.006
GNSS-01,124,0.008797,-0.004601,0.053875,0.0025,0.0025,0.006
GNSS-01,125,0.00153,-0.00299,0.064335,0.0025,0.0025,0.006
GNSS-01,126,0.001091,-0.004732,0.060461,0.0025,0.0025,0.006
GNSS-01,127,0.005996,-0.007406,0.055463,0.0025,0.0025,0.006
GNSS-01,128,0.00602,-0.001291,0.05375,0.0025,0.0025,0.006
GNSS-01,129,0.001464,-0.002377,0.054172,0.0025,0.0025,0.006
GNSS-01,130,0.006176,-0.004816,0.058275,0.0025,0.0025,0.006
GNSS-01,131,0.005891,-0.003149,0.048088,0.0025,0.0025,0.006
GNSS-01,132,0.006355,-0.002535,0.054736,0.0025,0.0025,0.006
GNSS-01,133,0.002048,-0.000781,0.069443,0.0025,0.0025,0.006
GNSS-01,134,0.003339,0.002168,0.056193,0.0025,0.0025,0.006
GNSS-01,135,0.006493,-0.000808,0.056751,0.0025,0.0025,0.006
GNSS-01,136,0.005976,0.005714,0.058099,0.0025,0.0025,0.006
GNSS-01,137,0.000495,-0.003357,0.064956,0.0025,0.0025,0.006
GNSS-01,138,0.003778,-0.001798,0.063236,0.0025,0.0025,0.006
GNSS-01,139,0.002789,0.000765,0.055925,0.0025,0.0025,0.006
GNSS-01,140,0.008792,-0.000604,0.076127,0.0025,0.0025,0.006
GNSS-01,141,0.00539,-0.002368,0.066302,0.0025,0.0025,0.006
GNSS-01,142,0.008011,0.00049,0.068988,0.0025,0.0025,0.006
GNSS-01,143,0.001805,-0.002722,0.067639,0.0025,0.0025,0.006
GNSS-01,144,-0.000155,-0.004854,0.064774,0.0025,0.0025,0.006
GNSS-01,145,0.003425,0.000506,0.058002,0.0025,0.0025,0.006
GNSS-01,146,0.006954,-0.005337,0.064128,0.0025,0.0025,0.006
GNSS-01,147,0.001089,-0.001257,0.069599,0.0025,0.0025,0.006
GNSS-01,148,0.004716,0.001495,0.060289,0.0025,0.0025,0.006
GNSS-01,149,0.010393,-0.002318,0.075595,0.0025,0.0025,0.006
GNSS-01,150,0.004362,0.001427,0.074028,0.0025,0.0025,0.006
GNSS-01,151,0.005845,-1.6e-05,0.067843,0.0025,0.0025,0.006
GNSS-01,152,0.001681,-0.000881,0.072814,0.0025,0.0025,0.006
GNSS-01,153,0.007362,0.005009,0.071449,0.0025,0.0025,0.006
GNSS-01,154,0.001835,-0.002748,0.070675,0.0025,0.0025,0.006
GNSS-01,155,0.013433,-0.00696,0.062785,0.0025,0.0025,0.006
GNSS-01,156,0.006074,-0.004197,0.069798,0.0025,0.0025,0.006
GNSS-01,157,0.005224,-0.002464,0.073942,0.0025,0.0025,0.006
GNSS-01,158,0.0073,0.001408,0.061032,0.0025,0.0025,0.006
GNSS-01,159,0.006722,-0.001327,0.070419,0.0025,0.0025,0.006
GNSS-01,160,-0.000908,-0.008873,0.070833,0.0025,0.0025,0.006
GNSS-01,161,0.006023,-0.001371,0.078316,0.0025,0.0025,0.006
GNSS-01,162,0.007218,-0.005165,0.068712,0.0025,0.0025,0.006
GNSS-01,163,0.007395,-0.004928,0.071497,0.0025,0.0025,0.006
GNSS-01,164,0.002267,-0.000259,0.067455,0.0025,0.0025,0.006
GNSS-01,165,0.009926,-0.003904,0.076407,0.0025,0.0025,0.006
GNSS-01,166,0.001748,-0.007397,0.074776,0.0025,0.0025,0.006
GNSS-01,167,-0.000323,-0.000418,0.06709,0.0025,0.0025,0.006
GNSS-01,168,0.00363,-0.005042,0.075205,0.0025,0.0025,0.006
GNSS-01,169,0.002888,0.000125,0.075408,0.0025,0.0025,0.006
GNSS-01,170,-0.001926,0.002308,0.08813,0.0025,0.0025,0.006
GNSS-01,171,0.008153,-0.001883,0.076615,0.0025,0.0025,0.006
GNSS-01,172,0.002217,0.003156,0.074148,0.0025,0.0025,0.006
GNSS-01,173,0.007865,-0.002201,0.075984,0.0025,0.0025,0.006
GNSS-01,174,0.001012,-0.00519,0.089962,0.0025,0.0025,0.006
GNSS-01,175,0.000789,-0.005318,0.096021,0.0025,0.0025,0.006
GNSS-01,176,0.002255,-0.002692,0.081118,0.0025,0.0025,0.006
GNSS-01,177,0.001861,0.001762,0.084665,0.0025,0.0025,0.006
GNSS-01,178,0.005691,-0.00705,0.092941,0.0025,0.0025,0.006
GNSS-01,179,0.004103,0.001573,0.082419,0.0025,0.0025,0.006
GNSS-01,180,0.006636,-7.7e-05,0.091093,0.0025,0.0025,0.006
GNSS-01,181,0.001461,0.000423,0.094721,0.0025,0.0025,0.006
GNSS-01,182,0.007555,-0.003434,0.087827,0.0025,0.0025,0.006
GNSS-01,183,0.011119,0.004369,0.09644,0.0025,0.0025,0.006
GNSS-01,184,0.000295,0.001353,0.089932,0.0025,0.0025,0.006
GNSS-01,185,0.007837,-0.008792,0.094862,0.0025,0.0025,0.006
GNSS-01,186,0.007651,-0.006971,0.102504,0.0025,0.0025,0.006
GNSS-01,187,0.004974,-0.003764,0.087928,0.0025,0.0025,0.006
GNSS-01,188,0.004511,-0.000951,0.111387,0.0025,0.0025,0.006
GNSS-01,189,-0.001432,-0.010432,0.093633,0.0025,0.0025,0.006
GNSS-01,190,0.007987,0.001047,0.108961,0.0025,0.0025,0.006
GNSS-01,191,0.012635,-0.001562,0.092666,0.0025,0.0025,0.006
GNSS-01,192,-0.001917,-0.00145,0.110773,0.0025,0.0025,0.006
GNSS-01,193,0.011032,-0.005257,0.105254,0.0025,0.0025,0.006
GNSS-01,194,0.004954,-0.006712,0.092207,0.0025,0.0025,0.006
GNSS-01,195,0.002509,-0.002551,0.093915,0.0025,0.0025,0.006
GNSS-01,196,0.006347,-0.000806,0.098542,0.0025,0.0025,0.006
GNSS-01,197,0.003673,0.005976,0.101604,0.0025,0.0025,0.006
GNSS-01,198,0.004732,-0.00579,0.09749,0.0025,0.0025,0.006
GNSS-01,199,0.003814,-1e-06,0.104092,0.0025,0.0025,0.006
GNSS-01,200,0.002853,-0.003953,0.101338,0.0025,0.0025,0.006
GNSS-01,201,0.001461,0.002025,0.112377,0.0025,0.0025,0.006
GNSS-01,202,0.010386,-0.008371,0.095467,0.0025,0.0025,0.006
GNSS-01,203,0.009397,-0.000109,0.110988,0.0025,0.0025,0.006
GNSS-01,204,0.007036,-0.002566,0.101936,0.0025,0.0025,0.006
GNSS-01,205,0.01045,0.001357,0.109986,0.0025,0.0025,0.006
GNSS-01,206,0.008504,-0.002913,0.107986,0.0025,0.0025,0.006
GNSS-01,207,0.00738,-0.002524,0.121375,0.0025,0.0025,0.006
GNSS-01,208,0.005155,0.001397,0.12169,0.0025,0.0025,0.006
GNSS-01,209,0.010467,-0.008519,0.107732,0.0025,0.0025,0.006
GNSS-01,210,0.004078,-0.001704,0.116363,0.0025,0.0025,0.006
GNSS-01,211,0.00246,-0.00122,0.121152,0.0025,0.0025,0.006
GNSS-01,212,0.009025,-0.005062,0.115067,0.0025,0.0025,0.006
GNSS-01,213,0.010715,-0.005233,0.127085,0.0025,0.0025,0.006
GNSS-01,214,0.006136,0.00188,0.127059,0.0025,0.0025,0.006
GNSS-01,215,0.003895,-0.002895,0.119451,0.0025,0.0025,0.006
GNSS-01,216,0.007346,0.001765,0.121993,0.0025,0.0025,0.006
GNSS-01,217,0.006948,-0.002688,0.129176,0.0025,0.0025,0.006
GNSS-01,218,0.005489,-0.004653,0.126288,0.0025,0.0025,0.006
GNSS-01,219,0.008296,-0.004547,0.118864,0.0025,0.0025,0.006
GNSS-01,220,0.012427,-0.005375,0.126746,0.0025,0.0025,0.006
GNSS-01,221,0.008854,-0.008138,0.130104,0.0025,0.0025,0.006
GNSS-01,222,0.006847,0.001095,0.121431,0.0025,0.0025,0.006
GNSS-01,223,0.004575,-0.003115,0.126303,0.0025,0.0025,0.006
GNSS-01,224,0.007433,-0.001446,0.135645,0.0025,0.0025,0.006
GNSS-01,225,0.002211,-0.004132,0.132257,0.0025,0.0025,0.006
GNSS-01,226,0.008468,-0.000909,0.134121,0.0025,0.0025,0.006
GNSS-01,227,0.009717,-0.005993,0.1395,0.0025,0.0025,0.006
GNSS-01,228,0.01013,0.0004,0.134668,0.0025,0.0025,0.006
GNSS-01,229,0.007604,-0.004267,0.135531,0.0025,0.0025,0.006
GNSS-01,230,0.006667,-0.00895,0.145035,0.0025,0.0025,0.006
GNSS-01,231,0.008712,-0.007207,0.152756,0.0025,0.0025,0.006
GNSS-01,232,0.011236,-0.004407,0.147577,0.0025,0.0025,0.006
GNSS-01,233,0.004121,-0.000367,0.157121,0.0025,0.0025,0.006
GNSS-01,234,0.007137,-0.007021,0.141513,0.0025,0.0025,0.006
GNSS-01,235,0.005464,-0.00126,0.129278,0.0025,0.0025,0.006
GNSS-01,236,0.003964,-0.008436,0.157831,0.0025,0.0025,0.006
GNSS-01,237,0.01011,-0.006558,0.132485,0.0025,0.0025,0.006
GNSS-01,238,0.006283,-0.007814,0.141581,0.0025,0.0025,0.006
GNSS-01,239,0.007481,-0.001879,0.15263,0.0025,0.0025,0.006
GNSS-01,240,0.004964,-0.010999,0.136911,0.0025,0.0025,0.006
GNSS-01,241,0.007369,-0.002365,0.157554,0.0025,0.0025,0.006
GNSS-01,242,0.010297,-0.001653,0.145221,0.0025,0.0025,0.006
GNSS-01,243,0.008849,-0.007319,0.146042,0.0025,0.0025,0.006
GNSS-01,244,0.005702,-0.002636,0.146826,0.0025,0.0025,0.006
GNSS-01,245,0.007942,-0.000437,0.158074,0.0025,0.0025,0.006
GNSS-01,246,0.008108,-0.007798,0.139983,0.0025,0.0025,0.006
GNSS-01,247,0.014301,-0.005463,0.156527,0.0025,0.0025,0.006
GNSS-01,248,0.007318,-0.00911,0.147821,0.0025,0.0025,0.006
GNSS-01,249,0.010802,0.001026,0.150428,0.0025,0.0025,0.006
GNSS-01,250,0.002264,-0.007781,0.156862,0.0025,0.0025,0.006
GNSS-01,251,0.014694,-0.007254,0.144089,0.0025,0.0025,0.006
GNSS-01,252,0.003232,-0.004339,0.162068,0.0025,0.0025,0.006
GNSS-01,253,0.007321,-0.009631,0.163175,0.0025,0.0025,0.006
GNSS-01,254,0.008243,-0.000425,0.157983,0.0025,0.0025,0.006
GNSS-01,255,0.011555,-0.003912,0.168007,0.0025,0.0025,0.006
GNSS-01,256,0.007033,-0.002533,0.161742,0.0025,0.0025,0.006
GNSS-01,257,0.010294,-0.001557,0.166161,0.0025,0.0025,0.006
GNSS-01,258,0.006502,-0.009393,0.145946,0.0025,0.0025,0.006
GNSS-01,259,0.007668,-0.007579,0.15753,0.0025,0.0025,0.006
GNSS-01,260,0.010861,-0.01032,0.164388,0.0025,0.0025,0.006
GNSS-01,261,0.01249,-0.008616,0.165081,0.0025,0.0025,0.006
GNSS-01,262,0.011525,-0.00289,0.170351,0.0025,0.0025,0.006
GNSS-01,263,0.011724,-0.00192,0.160984,0.0025,0.0025,0.006
GNSS-01,264,0.012277,-0.002892,0.169802,0.0025,0.0025,0.006
GNSS-01,265,0.010993,-0.00772,0.162819,0.0025,0.0025,0.006
GNSS-01,266,0.008201,-0.001287,0.176018,0.0025,0.0025,0.006
GNSS-01,267,0.012018,-0.003178,0.173065,0.0025,0.0025,0.006
GNSS-01,268,0.01284,-0.009602,0.180939,0.0025,0.0025,0.006
GNSS-01,269,0.012578,-0.006267,0.17094,0.0025,0.0025,0.006
GNSS-01,270,0.011798,-0.005925,0.170909,0.0025,0.0025,0.006
GNSS-01,271,0.006544,0.000579,0.184208,0.0025,0.0025,0.006
GNSS-01,272,0.015956,-0.008119,0.17704,0.0025,0.0025,0.006
GNSS-01,273,0.012794,-0.006966,0.176377,0.0025,0.0025,0.006
GNSS-01,274,0.00887,-0.006219,0.177152,0.0025,0.0025,0.006
GNSS-01,275,0.009729,-0.003801,0.183472,0.0025,0.0025,0.006
GNSS-01,276,0.014532,-0.004697,0.187292,0.0025,0.0025,0.006
GNSS-01,277,0.013056,-0.006316,0.180283,0.0025,0.0025,0.006
GNSS-01,278,0.0136,-0.013733,0.180228,0.0025,0.0025,0.006
GNSS-01,279,0.007381,-0.008994,0.174393,0.0025,0.0025,0.006
GNSS-01,280,0.013519,-0.007948,0.18837,0.0025,0.0025,0.006
GNSS-01,281,0.013313,-0.003723,0.180703,0.0025,0.0025,0.006
GNSS-01,282,0.007118,-0.001772,0.182438,0.0025,0.0025,0.006
GNSS-01,283,0.01628,-0.002453,0.19175,0.0025,0.0025,0.006
GNSS-01,284,0.013051,-0.009552,0.175902,0.0025,0.0025,0.006
GNSS-01,285,0.013443,-0.002515,0.19358,0.0025,0.0025,0.006
GNSS-01,286,0.013523,-0.00793,0.176526,0.0025,0.0025,0.006
GNSS-01,287,0.009263,-0.005323,0.192818,0.0025,0.0025,0.006
GNSS-01,288,0.009498,-0.009253,0.188132,0.0025,0.0025,0.006
GNSS-01,289,0.014312,-0.002041,0.201306,0.0025,0.0025,0.006
GNSS-01,290,0.009633,-0.005881,0.182286,0.0025,0.0025,0.006
GNSS-01,291,0.009416,-0.008301,0.192597,0.0025,0.0025,0.006
GNSS-01,292,0.01596,-0.001266,0.20051,0.0025,0.0025,0.006
GNSS-01,293,0.010883,-0.003246,0.209209,0.0025,0.0025,0.006
GNSS-01,294,0.009365,-0.008907,0.204696,0.0025,0.0025,0.006
GNSS-01,295,0.00511,-0.008464,0.205983,0.0025,0.0025,0.006
GNSS-01,296,0.013458,-0.012203,0.205744,0.0025,0.0025,0.006
GNSS-01,297,0.012851,-0.00367,0.180147,0.0025,0.0025,0.006
GNSS-01,298,0.012349,1.8e-05,0.198786,0.0025,0.0025,0.006
GNSS-01,299,0.006489,-0.003629,0.191758,0.0025,0.0025,0.006
GNSS-01,300,0.013179,-0.005497,0.205331,0.0025,0.0025,0.006
GNSS-01,301,0.00943,-0.003609,0.212053,0.0025,0.0025,0.006
GNSS-01,302,0.013493,-0.005552,0.215163,0.0025,0.0025,0.006
GNSS-01,303,0.013381,0.000825,0.21857,0.0025,0.0025,0.006
GNSS-01,304,0.006987,-0.004496,0.211452,0.0025,0.0025,0.006
GNSS-01,305,0.01132,-0.001202,0.216631,0.0025,0.0025,0.006
GNSS-01,306,0.013113,-0.002834,0.194426,0.0025,0.0025,0.006
GNSS-01,307,0.013631,-0.001984,0.214019,0.0025,0.0025,0.006
GNSS-01,308,0.015744,-0.006629,0.219566,0.0025,0.0025,0.006
GNSS-01,309,0.005945,-0.004914,0.230474,0.0025,0.0025,0.006
GNSS-01,310,0.010663,-0.0085,0.228757,0.0025,0.0025,0.006
GNSS-01,311,0.012506,-0.008459,0.22484,0.0025,0.0025,0.006
GNSS-01,312,0.012762,-0.008001,0.234067,0.0025,0.0025,0.006
GNSS-01,313,0.011156,-0.006622,0.217927,0.0025,0.0025,0.006
GNSS-01,314,0.018263,-0.008445,0.220769,0.0025,0.0025,0.006
GNSS-01,315,0.020707,-0.005259,0.235894,0.0025,0.0025,0.006
GNSS-01,316,0.011742,-0.0087,0.217391,0.0025,0.0025,0.006
GNSS-01,317,0.014605,-0.00309,0.220556,0.0025,0.0025,0.006
GNSS-01,318,0.012459,-0.00655,0.225756,0.0025,0.0025,0.006
GNSS-01,319,0.01632,-0.010121,0.223724,0.0025,0.0025,0.006
GNSS-01,320,0.014889,0.000817,0.232118,0.0025,0.0025,0.006
GNSS-01,321,0.010508,-0.00716,0.22898,0.0025,0.0025,0.006
GNSS-01,322,0.008486,-0.002824,0.230637,0.0025,0.0025,0.006
GNSS-01,323,0.016509,-0.004555,0.234997,0.0025,0.0025,0.006
GNSS-01,324,0.012656,-0.006433,0.224742,0.0025,0.0025,0.006
GNSS-01,325,0.013904,-0.002811,0.241996,0.0025,0.0025,0.006
GNSS-01,326,0.011511,-0.007272,0.229512,0.0025,0.0025,0.006
GNSS-01,327,0.008357,-0.005333,0.226321,0.0025,0.0025,0.006
GNSS-01,328,0.00894,-0.007427,0.227294,0.0025,0.0025,0.006
GNSS-01,329,0.01267,-0.004925,0.235405,0.0025,0.0025,0.006
GNSS-01,330,0.014062,-0.003794,0.230313,0.0025,0.0025,0.006
GNSS-02,0,-0.002209,-0.00313,-0.007064,0.0025,0.0025,0.006
GNSS-02,1,-0.004073,0.003021,0.009515,0.0025,0.0025,0.006
GNSS-02,2,-0.000839,0.001924,0.004405,0.0025,0.0025,0.006
GNSS-02,3,0.001528,-0.002544,0.005186,0.0025,0.0025,0.006
GNSS-02,4,0.002217,0.001433,0.009473,0.0025,0.0025,0.006
GNSS-02,5,0.002375,-0.006373,0.003289,0.0025,0.0025,0.006
GNSS-02,6,-0.003003,-0.000318,0.00856,0.0025,0.0025,0.006
GNSS-02,7,-0.002776,-0.000941,0.000357,0.0025,0.0025,0.006
GNSS-02,8,-7.1e-05,0.001941,-0.004199,0.0025,0.0025,0.006
GNSS-02,9,-0.00078,0.005631,0.007554,0.0025,0.0025,0.006
GNSS-02,10,-0.001247,-0.000523,0.002756,0.0025,0.0025,0.006
GNSS-02,11,0.001352,0.003439,0.005806,0.0025,0.0025,0.006
GNSS-02,12,0.002013,0.005618,0.011844,0.0025,0.0025,0.006
GNSS-02,13,0.001304,0.004,0.006505,0.0025,0.0025,0.006
GNSS-02,14,0.003203,4.8e-05,0.002216,0.0025,0.0025,0.006
GNSS-02,15,-0.003896,0.00147,0.012371,0.0025,0.0025,0.006
GNSS-02,16,0.001473,2.5e-05,-0.00085,0.0025,0.0025,0.006
GNSS-02,17,-0.000829,0.000426,0.010142,0.0025,0.0025,0.006
GNSS-02,18,-0.001766,-0.00836,0.010006,0.0025,0.0025,0.006
GNSS-02,19,0.003086,0.002004,-0.000459,0.0025,0.0025,0.006
GNSS-02,20,-0.005578,0.000561,-0.00072,0.0025,0.0025,0.006
GNSS-02,21,-0.007829,0.003741,0.013939,0.0025,0.0025,0.006
GNSS-02,22,-0.002378,0.000268,0.007327,0.0025,0.0025,0.006
GNSS-02,23,-0.002704,0.001529,0.015366,0.0025,0.0025,0.006
GNSS-02,24,-0.003712,0.000908,0.002157,0.0025,0.0025,0.006
